image_name,label,laplacian_variance,mean,standard_deviation,resolution,too_blurry,too_noisy_laplacian,too_dark,too_bright,lack_of_texture,too_noisy_stddev,low_resolution,low_quality
146691.jpg,46,1682.3703740499914,106.4188232421875,67.26578652842109,128x128,0,1,0,0,0,0,0,1
135266.jpg,46,756.5813223086298,81.89031982421875,48.77395489219064,128x128,0,0,0,0,0,0,0,0
138683.jpg,46,1101.837151631713,137.5380859375,80.92680470266474,128x128,0,1,0,0,0,0,0,1
146346.jpg,46,993.4349327087402,76.79681396484375,54.47466093237145,128x128,0,0,0,0,0,0,0,0
148327.jpg,46,987.8421468734741,97.5311279296875,75.81038587966604,128x128,0,0,0,0,0,0,0,0
135333.jpg,46,1752.3585238307714,97.0162353515625,52.04208295718701,128x128,0,1,0,0,0,0,0,1
149621.jpg,46,1524.8711461871862,121.47906494140625,62.04304281168596,128x128,0,1,0,0,0,0,0,1
139734.jpg,46,2569.416545148939,112.63494873046875,78.52889021506962,128x128,0,1,0,0,0,0,0,1
137211.jpg,46,1339.27446981892,90.4744873046875,81.2372275626829,128x128,0,1,0,0,0,0,0,1
141645.jpg,46,2245.6469941698015,178.53546142578125,81.75652038400229,128x128,0,1,0,0,0,0,0,1
131117.jpg,46,499.2022658549249,127.67388916015625,83.03863750809381,128x128,0,0,0,0,0,0,0,0
133855.jpg,46,4049.6719803214073,91.99810791015625,79.0195106620362,128x128,0,1,0,0,0,0,0,1
138306.jpg,46,571.7977675050497,85.79608154296875,52.990920938693364,128x128,0,0,0,0,0,0,0,0
139155.jpg,46,674.0567016862333,117.09185791015625,56.62865862486666,128x128,0,0,0,0,0,0,0,0
144337.jpg,46,627.8554731868207,105.444580078125,74.78524334380168,128x128,0,0,0,0,0,0,0,0
146184.jpg,46,658.9489408694208,161.276611328125,52.1325100896117,128x128,0,0,0,0,0,0,0,0
141796.jpg,46,291.777579292655,67.48992919921875,41.516777848418215,128x128,0,0,0,0,0,0,0,0
136896.jpg,46,3099.037950422615,128.466796875,91.00627229893445,128x128,0,1,0,0,0,0,0,1
133315.jpg,46,2349.3008305989206,114.854736328125,63.87634265061485,128x128,0,1,0,0,0,0,0,1
137512.jpg,46,504.38213324546814,98.51031494140625,48.930356888567744,128x128,0,0,0,0,0,0,0,0
137655.jpg,46,1442.6513328403234,106.411865234375,56.44945255870203,128x128,0,1,0,0,0,0,0,1
137749.jpg,46,1036.7586888670921,83.677001953125,74.36010334269793,128x128,0,1,0,0,0,0,0,1
137527.jpg,46,3060.835779901594,71.57305908203125,58.04307826805424,128x128,0,1,0,0,0,0,0,1
144987.jpg,46,760.5927289687097,138.37872314453125,62.68775753881008,128x128,0,0,0,0,0,0,0,0
139427.jpg,46,823.6885405145586,93.7919921875,65.65090035273651,128x128,0,0,0,0,0,0,0,0
131121.jpg,46,713.6244847774506,65.09808349609375,48.62653095716962,128x128,0,0,0,0,0,0,0,0
149605.jpg,46,2732.734475955367,78.50787353515625,60.49192919371771,128x128,0,1,0,0,0,0,0,1
146535.jpg,46,3064.0149615965784,104.30877685546875,67.22272100891043,128x128,0,1,0,0,0,0,0,1
143420.jpg,46,848.7870502322912,158.01324462890625,59.024332557489785,128x128,0,0,0,0,0,0,0,0
149953.jpg,46,2355.4970062822104,167.3548583984375,90.93203674165562,128x128,0,1,0,0,0,0,0,1
144687.jpg,46,1652.7438903898,71.9793701171875,69.91484908271988,128x128,0,1,0,0,0,0,0,1
