image_name,label,laplacian_variance,mean,standard_deviation,resolution,too_blurry,too_noisy_laplacian,too_dark,too_bright,lack_of_texture,too_noisy_stddev,low_resolution,low_quality
146691.jpg,46,2295.3248576521873,106.98284912109375,68.26345868249405,128x128,0,1,0,0,0,0,0,1
135266.jpg,46,1003.8009670637548,82.20111083984375,49.1970316292489,128x128,0,1,0,0,0,0,0,1
138683.jpg,46,1510.0059041976929,137.882568359375,81.4354119662599,128x128,0,1,0,0,0,0,0,1
146346.jpg,46,993.0712379068136,76.78289794921875,54.489556258160746,128x128,0,0,0,0,0,0,0,0
148327.jpg,46,988.0006417892873,97.52178955078125,75.81852587617217,128x128,0,0,0,0,0,0,0,0
135333.jpg,46,1463.9453542083502,44.07659912109375,39.46584639280436,128x128,0,1,1,0,0,0,0,1
149621.jpg,46,2117.9261195510626,122.01031494140625,63.174444617139415,128x128,0,1,0,0,0,0,0,1
139734.jpg,46,2919.186659540981,112.60943603515625,78.2215121760861,128x128,0,1,0,0,0,0,0,1
137211.jpg,46,1451.301557958126,90.59228515625,81.04762072539089,128x128,0,1,0,0,0,0,0,1
141645.jpg,46,2591.6097909770906,179.140869140625,82.12730123432559,128x128,0,1,0,0,0,0,0,1
131117.jpg,46,499.48547637090087,127.6739501953125,83.03875424854267,128x128,0,0,0,0,0,0,0,0
133855.jpg,46,4402.934056222439,92.7161865234375,79.16064509060371,128x128,0,1,0,0,0,0,0,1
138306.jpg,46,571.5986174941063,85.795654296875,52.989356847603624,128x128,0,0,0,0,0,0,0,0
139155.jpg,46,1222.4553888887167,117.527587890625,57.88125848350961,128x128,0,1,0,0,0,0,0,1
144337.jpg,46,627.8297691345215,105.4464111328125,74.78809947809754,128x128,0,0,0,0,0,0,0,0
146184.jpg,46,659.1254438124597,161.272705078125,52.14813000477632,128x128,0,0,0,0,0,0,0,0
141796.jpg,46,291.78488343954086,67.489501953125,41.51423286556084,128x128,0,0,0,0,0,0,0,0
136896.jpg,46,3752.8246948570013,128.788330078125,91.05982092481732,128x128,0,1,0,0,0,0,0,1
133315.jpg,46,367.0806777328253,40.28546142578125,37.09404773676024,128x128,0,0,1,0,0,0,0,1
137512.jpg,46,504.8512988947332,98.508544921875,48.92937053557656,128x128,0,0,0,0,0,0,0,0
137655.jpg,46,914.6714600175619,49.231201171875,44.94964509169885,128x128,0,0,1,0,0,0,0,1
137749.jpg,46,1569.7300520204008,47.9527587890625,61.728548191437945,128x128,0,1,1,0,0,0,0,1
137527.jpg,46,3500.5629225820303,72.26593017578125,58.31091232757073,128x128,0,1,0,0,0,0,0,1
144987.jpg,46,1018.9717480801046,138.5369873046875,63.23988597268127,128x128,0,1,0,0,0,0,0,1
139427.jpg,46,823.6913390010595,93.7919921875,65.64926500308478,128x128,0,0,0,0,0,0,0,0
131121.jpg,46,713.446982383728,65.0975341796875,48.626330604924505,128x128,0,0,0,0,0,0,0,0
149605.jpg,46,3251.9836667627096,78.965087890625,60.68918157019622,128x128,0,1,0,0,0,0,0,1
146535.jpg,46,3686.837932076305,104.5616455078125,67.46124544752614,128x128,0,1,0,0,0,0,0,1
143420.jpg,46,1817.0074306093156,157.9130859375,59.75032700165845,128x128,0,1,0,0,0,0,0,1
149953.jpg,46,2693.856646951288,167.7132568359375,91.23942672068254,128x128,0,1,0,0,0,0,0,1
144687.jpg,46,1907.8797509521246,72.17266845703125,69.93134909668805,128x128,0,1,0,0,0,0,0,1
144578.jpg,46,661.1147000789642,168.5665283203125,68.05368771692848,128x128,0,0,0,0,0,0,0,0
137577.jpg,46,843.0702518187463,110.18572998046875,66.65101299442453,128x128,0,0,0,0,0,0,0,0
135905.jpg,46,2220.6741148494184,114.4981689453125,39.36786110342009,128x128,0,1,0,0,0,0,0,1
147555.jpg,46,2032.6724901162088,116.82220458984375,78.99596735914417,128x128,0,1,0,0,0,0,0,1
150323.jpg,46,1030.808753337711,73.83135986328125,64.59382797721761,128x128,0,1,0,0,0,0,0,1
130819.jpg,46,408.80358849465847,99.41552734375,49.90869659895241,128x128,0,0,0,0,0,0,0,0
141445.jpg,46,1176.093861129135,87.60791015625,44.23991268021294,128x128,0,1,0,0,0,0,0,1
141292.jpg,46,917.2112336419523,101.69769287109375,64.13433837606004,128x128,0,0,0,0,0,0,0,0
133817.jpg,46,3129.085339333862,92.0474853515625,93.38495630709116,128x128,0,1,0,0,0,0,0,1
146845.jpg,46,1789.7122253030539,104.96917724609375,77.46949746044729,128x128,0,1,0,0,0,0,0,1
